# Stockfish 19, depth 10, Threads 1, White-point-of-view centipawns clipped to +-1500
fen,cp
r2qkbnr/pp1n1ppp/4p3/1BppPb2/3P4/5N2/PPPN1PPP/R1BQ1RK1 b kq - 3 7,25
r4bnr/pp1k1ppp/1q2p3/2ppPb2/3P4/5N2/PPPN1PPP/R1BQ1RK1 w - - 0 9,144
r1k2bnr/pp3ppp/4p3/2qpPb2/8/2P2N2/PP1N1PPP/R1BQ1RK1 w - - 1 11,251
r1k2bnr/ppq2ppp/4p3/3pPb2/8/1NP2N2/PP3PPP/R1BQ1RK1 w - - 3 12,330
r1k2bnr/ppq2ppp/4p3/1N1pP3/4b3/2P2N2/PP3PPP/R1BQ1RK1 b - - 6 13,166
r1k2b1r/pp1q1ppp/2n1p1b1/3pP1N1/3N1B2/2P5/PP3PPP/R2Q1RK1 w - - 13 17,80
r1k2b1r/pp3ppp/2q1p1b1/3pP1N1/P4B2/2P5/1P3PPP/R2Q1RK1 b - - 0 18,33
rk2r3/pp2b1pp/2q1p1b1/3pPp2/P4B2/2P2N2/1P1Q1PPP/R2R2K1 w - - 0 24,322
rk2r3/pp1qb1pp/4p1b1/3pPp2/P2N1B2/2P5/1P1Q1PPP/R2R2K1 w - - 2 25,309
rk2rb2/pp1q2p1/4p1b1/3pPpBp/PP1N4/2PQ4/5PPP/R2R2K1 b - - 3 27,269
rk2rb2/3q2p1/p3p1b1/Pp1pPpBp/1P1N4/2PQ2P1/5P1P/R2R2K1 w - - 0 30,168
rk2rb2/3q2p1/p3p1b1/Pp1pPp1p/1P1N4/2PQ2P1/3B1P1P/R2R2K1 b - - 1 30,130
rk2r3/3qb1p1/p3p1b1/Pp1pPp2/1P1N3p/2P3P1/3BQP1P/2RR2K1 b - - 1 32,78
rk2r3/3qb1p1/p3p1b1/Pp1pPp2/1P1N4/2P3P1/3BQP2/2RR2K1 b - - 0 33,109
rk5r/3qb1p1/p3p1b1/Pp1pPp2/1P1N4/2P3P1/3BQP2/2RR2K1 w - - 1 34,77
rk3b1r/3q2p1/p3p1b1/Pp1pPp2/1P1N1BP1/2P5/4QP2/2RR2K1 b - - 0 35,46
rk3b1r/3q2p1/p3p1b1/Pp1pP3/1P1N1BQ1/2P5/5P2/2RR2K1 b - - 0 36,69
rk3b2/3q1b1r/p3pBp1/Pp1pP3/1P1N4/2PR4/5PQ1/2R3K1 w - - 6 41,196
1k3b2/r2q1b1r/p3pBp1/Pp1pP3/1P1N4/2PR4/5PQ1/4R1K1 b - - 9 42,254
1k3b2/2rq1b1r/p3pBp1/Pp1pP3/1P1N4/2PR1P2/6Q1/4R1K1 b - - 0 43,-46
1k6/2rq1b2/p3p1p1/Pp1pP1Br/1P1N4/2PR1P2/1Q4Kb/4R3 b - - 8 47,-699
1kr5/3q1b2/p3p1p1/Pp1pP1Br/1P1N4/2PR1P2/1Q4Kb/4R3 w - - 9 48,126
1kr5/2q2b2/p3pBp1/Pp1pP2r/1P1N4/2PR1P2/1Q4Kb/4R3 w - - 11 49,-25
1k4r1/2q2b2/p3pB2/Pp1pP2p/1P1N1b2/2PR1P2/8/4QK2 b - - 1 53,-278
1k4r1/2q2b2/p3pB2/Pp1pP3/1P1N3p/2PR1Pb1/4Q3/5K2 w - - 0 55,-188
2k3r1/5b2/p3p3/Pp1pN3/1P5p/2PR1P2/3Q4/5K2 b - - 0 58,692
