. vs baselines/random: 200 games at 3000+50 ms, ply cap 600, 8 worker(s), openings from data/openings.txt (219), seed offset 0, load 0.50 0.60 1.45
Game 1/200 (seed 0), Petroff Defence as white, white by checkmate, 30 plies, low clock 1648 ms, 29.3 s
Game 2/200 (seed 1), Petroff Defence as black, black by checkmate, 13 plies, low clock 1654 ms, 29.6 s
Game 3/200 (seed 2), Sicilian Closed as white, white by checkmate, 16 plies, low clock 1693 ms, 28.2 s
Game 4/200 (seed 3), Sicilian Closed as black, black by checkmate, 35 plies, low clock 1648 ms, 29.6 s
Game 5/200 (seed 4), London System as white, white by checkmate, 22 plies, low clock 1648 ms, 26.4 s
Game 6/200 (seed 5), London System as black, black by checkmate, 23 plies, low clock 1649 ms, 30.3 s
Game 7/200 (seed 6), London System as white, white by checkmate, 42 plies, low clock 1648 ms, 30.0 s
Game 8/200 (seed 7), London System as black, black by checkmate, 23 plies, low clock 1649 ms, 29.4 s
Game 9/200 (seed 8), Sicilian Closed as white, white by checkmate, 14 plies, low clock 1670 ms, 28.8 s
Game 10/200 (seed 9), Sicilian Closed as black, black by checkmate, 35 plies, low clock 1648 ms, 29.3 s
Game 11/200 (seed 10), Sicilian Najdorf as white, white by checkmate, 18 plies, low clock 1717 ms, 28.2 s
Game 12/200 (seed 11), Sicilian Najdorf as black, black by checkmate, 17 plies, low clock 1648 ms, 29.8 s
Game 13/200 (seed 12), Sicilian Classical as white, white by checkmate, 18 plies, low clock 1648 ms, 30.2 s
Game 14/200 (seed 13), Sicilian Classical as black, black by checkmate, 25 plies, low clock 1649 ms, 29.2 s
Game 15/200 (seed 14), Pirc Defence as white, white by checkmate, 6 plies, low clock 2479 ms, 28.4 s
Game 16/200 (seed 15), Pirc Defence as black, black by checkmate, 33 plies, low clock 1649 ms, 29.8 s
Game 17/200 (seed 16), Queen's Indian Defence as white, white by checkmate, 34 plies, low clock 1648 ms, 30.7 s
Game 18/200 (seed 17), Queen's Indian Defence as black, black by checkmate, 19 plies, low clock 1649 ms, 29.2 s
